Name,dataTime,XAcc,YAcc,ZAcc,Acc,Shake,XOri,YOri,ZOri,XGyr,YGyr,ZGyr,Timestamp
칼만1,8.426,3.9624174,3.5930088,4.0984735,6.738542032495005,0,-1.8387194,15.485969,275.67996,0.09407325,-0.6096435,0.07452556,2017-02-20 16:03:31
칼만1,8.529,4.060033,3.6988754,4.1785545,6.901149478622468,0,-2.0580873,20.344156,276.0652,0.08674286,-0.49113566,-0.017104227,2017-02-20 16:03:31
칼만1,8.63,4.198545,3.8274004,4.3358493,7.14677291778466,0,-2.0580873,20.344156,276.0652,0.08674286,-0.49113566,-0.017104227,2017-02-20 16:03:31
칼만1,8.745,4.3581867,4.041549,4.452191,7.426298881760081,0,-2.9188783,24.759281,276.31976,0.10751228,-0.25289822,-0.002443461,2017-02-20 16:03:32
칼만1,8.848,4.4964857,4.120914,4.5324326,7.598898648348183,0,-2.9188783,24.759281,276.31976,0.10751228,-0.25289822,-0.002443461,2017-02-20 16:03:32
칼만1,8.949,4.56545,4.201994,4.6117215,7.730980783820597,0,-3.2930562,28.77429,275.70206,0.02687807,-0.33841935,-0.018325957,2017-02-20 16:03:32
칼만1,9.069,4.6649833,4.288643,4.6382,7.852860889894766,0,-3.6390975,32.535442,274.22314,0.12583824,-0.7819075,0.04153884,2017-02-20 16:03:32
칼만1,9.189,4.7784505,4.3751454,4.661813,7.981728200938947,0,-3.6390975,32.535442,274.22314,0.12583824,-0.7819075,0.04153884,2017-02-20 16:03:32
칼만1,9.314,4.857895,4.4283566,4.6557565,8.055156967625157,0,-3.7638185,38.299248,273.24356,0.06963864,-0.6218608,0.1563815,2017-02-20 16:03:32
칼만1,9.428,4.930763,4.5152464,4.7216268,8.184963695316675,0,-4.186964,46.91053,271.77353,-0.04886922,-0.18325958,-0.013439035,2017-02-20 16:03:32
칼만1,9.55,5.019064,4.5940094,4.700201,8.269692561218614,0,-4.186964,46.91053,271.77353,-0.04886922,-0.18325958,-0.013439035,2017-02-20 16:03:32
칼만1,9.669,5.003548,4.594546,4.7375827,8.281910118621182,0,-4.325583,51.903957,270.88858,0.0061086523,-0.19058995,-0.16615535,2017-02-20 16:03:32
칼만1,9.789,5.0886188,4.720264,4.842004,8.46285611868767,0,-5.1658864,55.173317,271.79144,-0.02076942,-0.32986724,-0.043982297,2017-02-20 16:03:33
칼만1,9.907,5.1783237,4.7829876,4.799232,8.527874001990273,0,-5.1658864,55.173317,271.79144,-0.02076942,-0.32986724,-0.043982297,2017-02-20 16:03:33
칼만1,10.027,5.1639905,4.773662,4.8001313,8.514452907261276,0,-6.1787415,59.07951,273.43152,0.12950343,-0.5131268,-0.10629055,2017-02-20 16:03:33
칼만1,10.15,5.1962347,4.820148,4.752004,8.533242358874011,0,-6.848255,63.19404,273.0495,0.06963864,-0.36651915,-0.037873644,2017-02-20 16:03:33
칼만1,10.27,5.1624794,4.792337,4.7407317,8.49071399355615,0,-6.848255,63.19404,273.0495,0.06963864,-0.36651915,-0.037873644,2017-02-20 16:03:33
